Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
United States,Oregon,42 %,,750 ml,TY KU LLC dba Davos Brands,Southern Glazers Wine,13743701,00853507000024,,13743701,Aviation Dry Gin,Products,38,true,simple,4,https://www.saq.com/media/catalog/product/1/3/13743701-1_1578541820.png,3,,,,,,
Canada,Quebec,40 %,,750 ml,Distillerie Vice Vertu,Esprit Rézin 9317-2724 Qc Inc. (spirit.),13940801,00627987043662,Made in Québec,13940801,Aquavice,Products,40,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13940801-1_1578546612.png,0,,,,,,
United States,Florida,40 %,Black,750 ml,Bacardi Bottling Corp,Bacardi Canada Inc.,13504144,00080480007614,,13504144,Bacardi Black,Products,25.05,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13504144-1_1578536720.png,0,,,,,,
France,,30 %,Amber,700 ml,J.R. Brillet,Authentic Vins et Spiritueux inc,10825920,03380140240854,,10825920,Belle de Brillet,Products,51,true,simple,0,https://www.saq.com/media/catalog/product/1/0/10825920-1_1580608516.png,0,,,,,,
Canada,Quebec,41.7 %,,750 ml,Distillerie Vice Vertu,Esprit Rézin 9317-2724 Qc Inc. (spirit.),13827429,00627987043648,Made in Québec,13827429,BeDirty,Products,48.25,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13827429-1_1578543013.png,0,,,,,,
France,,45 %,Amber,750 ml,Berger SA,Southern Glazers Wine,35881,03191010010695,,35881,Berger,Products,25.5,true,simple,0,https://www.saq.com/media/catalog/product/3/5/35881-1_1580594118.png,,,,,,,
United Kingdom,England,45.2 %,,750 ml,Maestro Tequilero,Mosaiq Vins et Spiritueux Inc.,12570334,00811538013093,,12570334,Boodles,Products,28.75,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12570334-1_1578346811.png,,,,,London dry gin,,
United Kingdom,England,37.5 %,Pink,750 ml,Chivas Brothers Ltd.,Corby Spiritueux et Vins Limitée,14043394,05000299618073,,14043394,Beefeater Pink,Products,28.15,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14043394-1_1578550214.png,0,,,,London dry gin,,
Mexico,Jalisco,40 %,,750 ml,The Beckmann Family,Mosaiq Vins et Spiritueux Inc.,11870407,00811538010139,,11870407,Beckmann 1800 Silver,Products,38.75,true,simple,4,https://www.saq.com/media/catalog/product/1/1/11870407-1_1601049035.png,4,Silver (blanco ou plata),,Tequila,Dénomination dorigine (DO),,
Poland,,40 %,,750 ml,Polmos Zyrardow,Charton Hobbs Inc,437772,00087116069688,,437772,Belvedere,Products,49.75,true,simple,5,https://www.saq.com/media/catalog/product/4/3/437772-1_1580601022.png,1,,,,,,
United Kingdom,England,40 %,,1.14 L,James Burrough Limited,Corby Spiritueux et Vins Limitée,11405679,05000329002353,,11405679,Beefeater,Products,35.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11405679-1_1580617516.png,0,,,,,,
